tuberculosis,positive_XraY,tuberculos_or_cancer,smoking,visit_to_Asia,lung_cancer,bronchitis,dyspnoea
b2,d2,c2,f1,a2,e2,g1,h1
b2,d2,c2,f2,a2,e2,g1,h1
b2,d2,c2,f2,a2,e2,g2,h2
b2,d2,c2,f1,a2,e2,g2,h2
b2,d2,c2,f2,a2,e2,g2,h2
b2,d2,c2,f2,a2,e2,g2,h2
b2,d2,c2,f2,a2,e2,g2,h2
b2,d2,c2,f1,a2,e2,g2,h2
b2,d2,c2,f1,a2,e2,g2,h2
b2,d1,c2,f2,a2,e2,g1,h2
b2,d2,c2,f1,a2,e2,g2,h2
b2,d2,c2,f2,a2,e2,g2,h2
b2,d2,c2,f2,a2,e2,g2,h2
b2,d2,c2,f1,a2,e2,g1,h1
b2,d2,c2,f1,a2,e2,g1,h1
b2,d2,c2,f1,a2,e2,g1,h1
b2,d2,c2,f2,a2,e2,g1,h1
b2,d2,c2,f2,a2,e2,g2,h2
b2,d2,c2,f1,a2,e2,g1,h1
b2,d1,c2,f2,a2,e2,g2,h2
b2,d2,c2,f2,a2,e2,g2,h2
b2,d2,c2,f2,a2,e2,g2,h2
b2,d2,c2,f1,a2,e2,g1,h1
b2,d2,c2,f1,a2,e2,g1,h2
b2,d2,c2,f2,a2,e2,g2,h2
b2,d2,c2,f2,a2,e2,g1,h1
b2,d2,c2,f1,a2,e2,g2,h2
b2,d1,c1,f1,a2,e1,g1,h1
b2,d2,c2,f1,a2,e2,g1,h1
b2,d2,c2,f2,a2,e2,g2,h2
b2,d2,c2,f1,a2,e2,g1,h1
b2,d1,c1,f2,a2,e1,g2,h1
b2,d2,c2,f2,a2,e2,g1,h1
b2,d2,c2,f2,a2,e2,g2,h1
b2,d2,c2,f2,a2,e2,g1,h2
b2,d2,c2,f1,a2,e2,g1,h1
b2,d1,c2,f1,a2,e2,g2,h2
b2,d2,c2,f1,a2,e2,g2,h2
b2,d2,c2,f1,a2,e2,g1,h1
b2,d2,c2,f1,a2,e2,g1,h1
b2,d2,c2,f1,a2,e2,g1,h2
b2,d2,c2,f2,a2,e2,g2,h2
b2,d2,c2,f2,a2,e2,g2,h2
b2,d2,c2,f1,a2,e2,g1,h1
b2,d2,c2,f1,a2,e2,g2,h2
b2,d1,c1,f1,a2,e1,g1,h1
b2,d2,c2,f2,a2,e2,g2,h2
b2,d2,c2,f2,a2,e2,g2,h2
b2,d2,c2,f2,a2,e2,g2,h2
b2,d2,c2,f2,a2,e2,g1,h1
b2,d2,c2,f2,a2,e2,g1,h1
b2,d2,c2,f2,a2,e2,g1,h1
b2,d2,c2,f1,a2,e2,g1,h1
b2,d2,c2,f1,a2,e2,g1,h2
b2,d2,c2,f2,a2,e2,g1,h2
b2,d1,c1,f1,a2,e1,g2,h2
b2,d1,c2,f2,a2,e2,g1,h1
b2,d2,c2,f2,a2,e2,g1,h2
b2,d2,c2,f2,a2,e2,g2,h2
b2,d2,c2,f1,a2,e2,g2,h2
b2,d2,c2,f2,a2,e2,g2,h2
b2,d2,c2,f2,a1,e2,g1,h1
b2,d2,c2,f2,a2,e2,g1,h1
b2,d2,c2,f2,a2,e2,g1,h2
b2,d2,c2,f1,a2,e2,g2,h2
b2,d2,c2,f2,a2,e2,g1,h1
b1,d1,c1,f2,a2,e2,g1,h1
b2,d2,c2,f2,a2,e2,g2,h1
b2,d2,c2,f2,a2,e2,g2,h1
b2,d2,c2,f2,a2,e2,g2,h1
b2,d1,c1,f1,a2,e1,g2,h2
b2,d2,c2,f1,a2,e2,g2,h2
b2,d2,c2,f2,a2,e2,g2,h2
b2,d1,c1,f1,a2,e1,g1,h1
b2,d2,c2,f2,a2,e2,g2,h2
b2,d1,c2,f2,a2,e2,g2,h2
b2,d2,c2,f2,a2,e2,g2,h2
b2,d2,c2,f1,a1,e2,g1,h1
b2,d2,c2,f2,a2,e2,g2,h2
b2,d2,c2,f2,a2,e2,g2,h1
b2,d2,c2,f1,a2,e2,g2,h1
b2,d1,c1,f1,a2,e1,g1,h1
b2,d2,c2,f1,a2,e2,g2,h2
b2,d1,c1,f1,a2,e1,g1,h1
b2,d2,c2,f1,a2,e2,g1,h1
b2,d1,c1,f1,a2,e1,g1,h1
b2,d2,c2,f2,a2,e2,g1,h1
b2,d2,c2,f2,a2,e2,g1,h1
b2,d2,c2,f1,a2,e2,g1,h2
b2,d2,c2,f1,a2,e2,g2,h2
b2,d2,c2,f1,a2,e2,g2,h2
b2,d2,c2,f2,a2,e2,g2,h2
b2,d2,c2,f1,a2,e2,g2,h2
b2,d2,c2,f1,a2,e2,g1,h1
b2,d2,c2,f2,a2,e2,g2,h2
b2,d2,c2,f1,a2,e2,g1,h1
b2,d2,c2,f2,a2,e2,g2,h2
b2,d2,c2,f1,a2,e2,g2,h2
b2,d2,c2,f2,a2,e2,g2,h2
b2,d2,c2,f1,a2,e2,g1,h1
b2,d2,c2,f2,a2,e2,g2,h2
b2,d2,c2,f2,a2,e2,g2,h2
b2,d2,c2,f1,a2,e2,g1,h1
b2,d2,c2,f1,a2,e2,g2,h2
b2,d2,c2,f1,a2,e2,g1,h1
b2,d1,c2,f2,a2,e2,g2,h2
b2,d2,c2,f2,a2,e2,g1,h1
b2,d2,c2,f1,a2,e2,g1,h1
b2,d1,c2,f2,a2,e2,g2,h2
b1,d1,c1,f2,a2,e2,g2,h1
b2,d2,c2,f1,a2,e2,g1,h1
b2,d2,c2,f2,a2,e2,g1,h2
b2,d2,c2,f1,a2,e2,g2,h2
b2,d2,c2,f1,a2,e2,g2,h2
b2,d2,c2,f2,a2,e2,g1,h1
b2,d2,c2,f2,a2,e2,g2,h2
b2,d2,c2,f2,a2,e2,g1,h1
b2,d2,c2,f2,a2,e2,g2,h2
b2,d2,c2,f1,a2,e2,g2,h2
b2,d2,c2,f1,a2,e2,g2,h2
b2,d2,c2,f2,a2,e2,g2,h2
b2,d2,c2,f1,a2,e2,g1,h1
b2,d2,c2,f1,a2,e2,g2,h2
b2,d2,c2,f2,a2,e2,g2,h2
b2,d2,c2,f2,a2,e2,g2,h2
b2,d2,c2,f2,a2,e2,g2,h2
b2,d2,c2,f2,a2,e2,g2,h2
b2,d2,c2,f2,a2,e2,g1,h1
b2,d1,c1,f1,a2,e1,g1,h1
b2,d2,c2,f2,a2,e2,g2,h2
b2,d2,c2,f2,a2,e2,g2,h2
b2,d2,c2,f2,a2,e2,g1,h1
b2,d2,c2,f2,a2,e2,g2,h2
b2,d2,c2,f2,a2,e2,g1,h1
b2,d1,c2,f1,a2,e2,g1,h1
b2,d2,c2,f2,a2,e2,g2,h1
b2,d2,c2,f2,a2,e2,g2,h2
b2,d2,c2,f1,a2,e2,g2,h2
b2,d1,c1,f1,a2,e1,g2,h1
b2,d2,c2,f1,a2,e2,g2,h2
b2,d1,c1,f1,a2,e1,g2,h1
b2,d2,c2,f2,a2,e2,g2,h2
b2,d2,c2,f1,a2,e2,g1,h1
b2,d2,c2,f1,a2,e2,g2,h2
b2,d1,c2,f2,a2,e2,g2,h2
b2,d2,c2,f1,a2,e2,g1,h1
b2,d2,c2,f1,a2,e2,g1,h1
b2,d2,c2,f2,a2,e2,g2,h2
b2,d2,c2,f1,a2,e2,g1,h2
b2,d2,c2,f2,a2,e2,g1,h1
b2,d2,c2,f2,a2,e2,g2,h2
b2,d2,c2,f1,a2,e2,g2,h2
b2,d2,c2,f2,a2,e2,g2,h2
b2,d2,c2,f2,a2,e2,g2,h2
b2,d2,c2,f1,a2,e2,g2,h2
b2,d1,c2,f1,a2,e2,g1,h1
b2,d2,c2,f2,a2,e2,g2,h2
b2,d2,c2,f2,a2,e2,g2,h2
b2,d1,c2,f1,a2,e2,g2,h2
b2,d2,c2,f1,a2,e2,g1,h1
b2,d2,c2,f2,a2,e2,g2,h2
b2,d2,c2,f2,a2,e2,g1,h1
b2,d2,c2,f1,a2,e2,g1,h1
b2,d2,c2,f2,a2,e2,g2,h2
b2,d2,c2,f1,a2,e2,g1,h1
b2,d2,c2,f2,a2,e2,g1,h1
b2,d2,c2,f1,a2,e2,g1,h2
b2,d2,c2,f2,a2,e2,g1,h1
b2,d2,c2,f2,a2,e2,g2,h2
b2,d2,c2,f1,a2,e2,g1,h1
b2,d2,c2,f2,a2,e2,g2,h2
b2,d2,c2,f1,a2,e2,g2,h2
b2,d2,c2,f1,a2,e2,g1,h1
b2,d2,c2,f2,a2,e2,g1,h1
b1,d1,c1,f1,a2,e2,g1,h1
b2,d2,c2,f2,a2,e2,g2,h2
b2,d2,c2,f2,a2,e2,g1,h1
b2,d1,c2,f2,a2,e2,g2,h1
b1,d1,c1,f2,a2,e2,g1,h1
b2,d2,c2,f1,a2,e2,g1,h1
b2,d2,c2,f2,a2,e2,g2,h2
b2,d2,c2,f1,a2,e2,g2,h2
b2,d1,c2,f1,a2,e2,g1,h1
b2,d2,c2,f2,a2,e2,g2,h2
b2,d2,c2,f2,a2,e2,g2,h2
b2,d2,c2,f2,a2,e2,g2,h2
b2,d2,c2,f2,a2,e2,g2,h2
b2,d2,c2,f1,a2,e2,g1,h1
b2,d2,c2,f1,a2,e2,g2,h2
b2,d2,c2,f1,a2,e2,g2,h2
b2,d2,c2,f1,a2,e2,g1,h1
b2,d1,c2,f2,a2,e2,g1,h1
b2,d2,c2,f1,a2,e2,g1,h2
b2,d2,c2,f2,a2,e2,g2,h2
b2,d2,c2,f2,a2,e2,g1,h2
b2,d2,c2,f2,a2,e2,g1,h1
b2,d2,c2,f1,a2,e2,g1,h1
b2,d2,c2,f2,a2,e2,g1,h2
b2,d2,c2,f2,a2,e2,g2,h2
b2,d2,c2,f1,a2,e2,g1,h1
b2,d2,c2,f2,a2,e2,g2,h2
b2,d2,c2,f2,a2,e2,g1,h1
b2,d2,c2,f2,a2,e2,g2,h2
b2,d2,c2,f2,a2,e2,g1,h1
b2,d2,c2,f2,a2,e2,g1,h1
b2,d2,c2,f2,a2,e2,g2,h2
b2,d1,c2,f2,a2,e2,g2,h2
b2,d2,c2,f2,a2,e2,g1,h1
b2,d2,c2,f1,a2,e2,g1,h1
b2,d2,c2,f1,a2,e2,g1,h1
b2,d2,c2,f2,a2,e2,g2,h2
b2,d2,c2,f2,a2,e2,g2,h2
b2,d2,c2,f2,a2,e2,g2,h2
b2,d2,c2,f1,a2,e2,g1,h1
b2,d1,c1,f1,a2,e1,g2,h1
b2,d2,c2,f2,a2,e2,g2,h2
b2,d2,c2,f2,a2,e2,g2,h2
b2,d2,c2,f1,a2,e2,g2,h2
b2,d2,c2,f2,a2,e2,g2,h1
b2,d1,c1,f1,a2,e1,g2,h1
b2,d2,c2,f2,a2,e2,g2,h2
b2,d2,c2,f2,a2,e2,g2,h2
b2,d2,c2,f1,a2,e2,g1,h2
b2,d2,c2,f2,a2,e2,g2,h1
b2,d1,c1,f1,a2,e1,g2,h2
b2,d1,c2,f2,a2,e2,g2,h2
b2,d2,c2,f2,a2,e2,g2,h2
b2,d2,c2,f2,a2,e2,g2,h2
b2,d1,c2,f2,a2,e2,g2,h2
b2,d2,c2,f1,a2,e2,g2,h2
